Month,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
January,2.49,2.96,3.76,3.97,3.94,3.90,3.97,3.77,4.00,3.93,3.99,3.87,4.10,4.15,4.07,4.21,4.22
February,2.73,3.29,3.76,4.43,3.88,4.04,4.18,3.87,3.97,4.05,4.08,4.06,4.44,4.56,4.19,4.06,4.42
March,2.38,3.23,3.64,4.17,4.04,3.88,3.95,3.94,4.03,3.82,4.19,4.10,4.50,4.34,4.27,4.26,4.39
April,2.54,3.17,3.58,4.09,4.00,3.88,4.05,3.93,4.13,4.12,4.07,4.14,4.41,4.27,4.30,4.38,4.42
May,2.87,3.23,3.73,4.16,3.92,4.03,3.95,3.94,4.03,4.03,4.07,4.28,4.40,4.22,4.24,4.43,4.47
June,2.79,3.16,3.91,3.94,3.98,3.83,4.06,3.83,4.08,4.09,4.15,4.11,4.48,4.29,4.22,4.48,4.45
July,2.68,3.47,4.09,3.72,3.94,4.11,4.09,3.99,4.06,4.12,4.08,3.96,4.35,4.14,4.32,4.44,4.33
August,2.88,3.44,3.66,3.85,3.82,3.82,3.83,3.66,4.05,4.11,3.99,4.28,4.48,4.36,4.25,4.45,4.36
September,3.06,3.35,3.74,3.81,3.98,4.11,4.08,4.05,3.69,4.22,4.24,4.21,4.47,4.37,4.35,4.47,4.28
October,2.83,3.41,3.50,3.81,3.92,3.56,3.90,3.44,3.44,3.93,4.17,4.18,4.40,4.05,4.33,4.43,4.43
November,3.02,3.62,3.82,4.05,4.01,4.00,3.20,3.93,3.56,4.03,4.08,4.21,4.48,4.28,4.35,4.13,4.08
December,3.10,3.24,3.29,3.26,3.98,4.03,3.02,4.03,3.22,4.12,4.17,4.15,4.23,4.00,4.37,4.15,3.56
