Month,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jan,5.24,5.47,5.62,5.73,5.35,5.62,6.03,5.77,6.07,6.10,6.08,6.11,6.24,6.29,5.80,6.05,6.30
Feb,5.17,5.52,5.58,5.72,5.72,5.58,5.87,5.99,6.18,5.99,6.03,6.08,6.17,6.27,5.82,6.07,6.43
Mar,5.21,5.58,5.66,5.80,5.55,5.72,5.92,6.01,6.19,6.01,6.08,5.96,6.11,6.03,5.92,6.16,6.45
Apr,5.35,5.75,5.61,5.93,5.57,5.80,6.06,5.95,6.16,6.01,6.05,6.02,6.14,5.84,6.06,6.31,6.44
May,5.37,5.75,5.54,5.81,5.67,5.88,6.13,5.95,6.17,6.04,5.99,5.94,6.11,5.96,6.04,6.35,6.42
Jun,5.35,5.79,5.73,5.57,5.55,5.94,6.12,6.09,6.17,6.07,6.10,6.06,6.04,6.03,6.07,6.44,6.33
Jul,5.27,5.74,5.67,5.81,5.83,6.00,6.23,6.12,6.19,6.10,6.10,6.19,6.27,6.00,6.10,6.44,6.44
Aug,5.41,5.85,5.70,5.88,5.92,6.05,6.24,6.09,6.16,6.09,6.09,6.22,6.32,6.00,6.17,6.41,6.42
Sept,5.34,5.79,5.90,5.87,5.76,5.98,6.22,6.11,5.99,6.14,6.14,6.18,6.29,6.02,6.15,6.37,6.45
Oct,5.42,5.77,5.81,5.78,5.80,5.96,5.74,6.12,6.09,6.12,6.14,6.18,6.29,6.03,6.17,6.45,6.45
Nov,5.42,5.63,5.90,5.80,5.96,5.84,4.94,6.25,5.94,6.12,6.15,6.22,6.32,6.11,6.18,6.46,6.41
Dec,5.17,5.46,5.85,5.13,5.72,5.76,4.84,6.01,5.67,6.00,6.05,6.22,6.17,6.10,6.31,6.39,6.40
