Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
2007,"103,309","330,625","278,021","281,551","181,798","233,376","225,536","198,141","219,284","187,371","296,230","332,084"
2008,"241,905","317,871","290,336","204,701","185,313","134,448","152,134","135,030","91,287","135,361","120,797","228,297"
2009,"226,559","189,520","268,819","220,336","212,850","181,401","165,968","183,851","138,731","143,212","144,406","161,793"
2010,"276,099","258,807","361,969","267,700","269,711","208,869","137,283","162,232","162,257","196,725","246,878","507,514"
2011,"239,103","322,078","380,667","265,942","296,991","229,569","205,363","263,077","251,718","229,625","195,741","358,461"
2012,"305,284","290,652","447,846","311,624","321,705","185,931","293,151","256,486","260,268","298,116","296,205","369,127"
2013,"356,544","279,295","424,268","299,044","312,069","271,257","380,482","369,519","388,064","565,583","452,067","810,406"
2014,"375,560","500,551","615,490","577,759","461,025","371,266","382,815","347,230","328,171","404,256","265,232","386,701"
2015,"429,044","419,257","639,870","426,335","516,018","545,247","509,457","616,951","502,257","526,516","560,901","780,408"
2016,"488,073","682,187","600,304","608,045","535,883","575,857","508,057","498,894","505,384","386,738","329,567","338,509"
2017,"434,970","581,363","715,346","572,068","517,730","542,505","502,241","452,744","433,030","384,331","570,959","579,796"
2018,"437,267","564,231","713,281","657,794","528,504","517,226","536,069","538,681","480,431","396,124","444,644","471,452"
2019,"526,400","531,875","657,711","673,761","615,515","495,282","521,285","581,352","519,892","492,749","561,262","722,141"
2020,"479,004","660,024","481,242","398,857","592,487","668,560","515,338","642,243","586,190","625,893","476,145","743,938"
2021,"552,971","601,836","889,334","677,274","754,291","559,756","554,177","405,175","394,558","412,064","453,497","639,033"
2022,"374,258","508,627","645,487","490,757","696,168","626,501","538,421","554,543","503,080","552,796","525,431","826,978"
2023,"385,354","779,282","710,156","649,085","854,210","500,889","633,501","584,894","568,922","488,359","558,763","700,866"
